IdOperacion,IdMercado,IdTipoOperacion,IdEmisor,IdClaseEmision,IdCasaDeBolsaCompra,IdCasaDeBolsaVenta,Numero,Cantidad,ValorNominal,FechaHora,Observacion,idEliminacion
9715,2,3,228,6,19,19,62182,74,140000,2025-01-13 17:15:00,,
9714,2,3,40,4,21,21,62181,55,295000,2025-01-10 14:30:00,,
9713,2,3,40,3,21,21,62180,46,295000,2025-01-10 14:30:00,,
9712,2,3,40,3,21,21,62179,46,330000,2025-01-10 14:30:00,,
9711,2,3,40,4,21,21,62178,76,330000,2025-01-10 14:00:00,,
9710,2,3,40,3,21,21,62177,234,330000,2025-01-10 13:30:00,,
9709,2,3,228,6,6,19,62176,401,120000,2025-01-08 14:00:00,,
9708,2,3,40,6,19,6,62175,3758,315000,2025-01-02 14:30:00,,
9707,2,3,40,6,6,6,62174,1102,310000,2025-01-02 14:30:00,,
9706,2,3,40,4,6,6,62173,3001,310000,2025-01-02 14:30:00,,
9705,2,3,40,6,6,6,62172,16307,307000,2024-12-30 16:16:00,,
9704,2,3,40,4,17,17,62171,54,280000,2024-12-27 18:24:00,,
